"playerId","name","position","year"
120074,"David Ortiz","DH",2011
400098,"Travis Hafner","DH",2011
425686,"Hideki Matsui","DH",2011
115223,"Vladimir Guerrero","DH",2011
123272,"Jim Thome","DH",2011
456714,"Billy Butler","DH",2011
400091,"Jack Cust","DH",2011
459964,"Matt Joyce","DH",2011
120903,"Manny Ramirez","DH",2011
276545,"Michael Young","DH",2011
432928,"Luke Scott","DH",2011
429665,"Edwin Encarnacion","DH",2011
452252,"Adam Lind","DH",2011
549075,"Ino Guerrero","DH",2011
120691,"Jorge Posada","DH",2011
455167,"Shelley Duncan","DH",2011
113028,"Johnny Damon","DH",2011
276055,"Adam Dunn","DH",2011
464342,"Edgar Quintero","DH",2011
477580,"Carlos Sievers","DH",2011
407487,"Juan Rivera","DH",2011
506874,"Robbie Shields","DH",2011
120074,"David Ortiz","DH",2012
400098,"Travis Hafner","DH",2012
432928,"Luke Scott","DH",2012
456714,"Billy Butler","DH",2012
123272,"Jim Thome","DH",2012
455921,"Luis Antonio Jimenez","DH",2012
425686,"Hideki Matsui","DH",2012
429665,"Edwin Encarnacion","DH",2012
459964,"Matt Joyce","DH",2012
524968,"Jesus Montero","DH",2012
507084,"Tony Plagman","DH",2012
276545,"Michael Young","DH",2012
434660,"Brad Eldred","DH",2012
123603,"Mario Valdez","DH",2012
452775,"Joseph Dunigan","DH",2012
501013,"Anderson Hidalgo","DH",2012
120074,"David Ortiz","DH",2013
400121,"Victor Martinez","DH",2013
456714,"Billy Butler","DH",2013
400098,"Travis Hafner","DH",2013
432928,"Luke Scott","DH",2013
204020,"Lance Berkman","DH",2013
114739,"Jason Giambi","DH",2013
429665,"Edwin Encarnacion","DH",2013
502143,"Danny Valencia","DH",2013
430321,"Delmon Young","DH",2013
400091,"Jack Cust","DH",2013
452215,"Luke Montz","DH",2013
625329,"Henry Urrutia","DH",2013
116662,"Andruw Jones","DH",2013
452738,"Tim Smith","DH",2013
400121,"Victor Martinez","DH",2014
120074,"David Ortiz","DH",2014
456714,"Billy Butler","DH",2014
114739,"Jason Giambi","DH",2014
474892,"Chris Carter","DH",2014
430611,"Corey Hart","DH",2014
625329,"Henry Urrutia","DH",2014
502973,"Amaury Cazana","DH",2014
477406,"Refugio Cervantes","DH",2014
443558,"Nelson Cruz","DH",2014
425560,"Adam LaRoche","DH",2015
121347,"Alex Rodriguez","DH",2015
456714,"Billy Butler","DH",2015
120074,"David Ortiz","DH",2015
425900,"Dioner Navarro","DH",2015
594828,"Evan Gattis","DH",2015
517370,"Jimmy Paredes","DH",2015
444379,"John Jaso","DH",2015
434778,"Kendrys Morales","DH",2015
425902,"Prince Fielder","DH",2015
400121,"Victor Martinez","DH",2015
